职位,公司名称,薪资范围,城市,经验要求,学历要求,领域,公司性质,规模,标签
IT总监(J10120),苏州纽威阀门股份有限公司,60-100万/年,苏州,10年及以上,本科,机械/设备/重工,民营,1000-5000人,"['架构设计', '信息管理', '流程优化', '数字化转型', '战略规划', 'sap', 'oa', 'mes', 'pdm', 'dms', '五险一金', '年终奖金', '绩效奖金', '定期体检', '带薪年假', '交通补贴', '节日福利', '周末双休']"
IT总监,苏州亚科科技股份有限公司,30-50万,苏州,10年及以上,本科,制药/生物工程,民营,500-1000人,"['品牌运营', '运营管理', '开发工具', '电商平台', '提供午餐']"
IT总监,暨明医药科技（苏州）有限公司,2-2.5万,苏州,5年及以上,本科,制药/生物工程,外资（欧美）,50-150人,"['计算机', 'gmp', '测试', '验收', '维护', '英文', '网络安全', '信息系统', '药企', 'fda审计', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
OA工程师,苏州同心医疗科技股份有限公司,1.5-2万,苏州,5年及以上,本科,医疗设备/器械,合资,150-500人,"['javascript', '需求分析', 'sql', 'c#', '.net', '功能开发', '英语口语', '系统维护', 'oa系统', '流程优化', '能力优先', '五险一金', '补充医疗保险', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金']"
高级IT经理,苏州木兰隽商贸有限公司,2.5-3.5万·15薪,苏州,5年及以上,本科,贸易/进出口,民营,,"['实验室', '生物制药', '方案']"
Team Lead IT-Consulting,普安华信息技术咨询（太仓）有限公司,15-25万/年,太仓,7年及以上,本科,计算机软件,外资（欧美）,少于50人,"['五险一金', '年终奖金', '绩效奖金', '双休', '带薪年假', '专业培训', '定期体检', '零食下午茶']"
CIM专家(J10065),苏州苏纳光电有限公司,2-3万,苏州,8年及以上,本科,电子技术/半导体/集成电路,民营,150-500人,"['半导体行业', 'cim系统']"
产品规划经理,天顺风能（苏州）股份有限公司,2-2.3万·15薪,太仓,5年及以上,本科,机械/设备/重工,已上市,1000-5000人,"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '通讯补贴', '带薪年假', '周末双休']"
情报系统部代理部长/部长,横河电机（苏州）有限公司,1-2万·14薪,苏州,5年及以上,本科,机械/设备/重工,外资（非欧美）,500-1000人,"['it管理', '五险一金', '补充医疗保险', '免费班车', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金']"
ERP资深工程师（熟悉鼎捷ERP),苏州和阳智能制造股份有限公司,1.7-2.3万,盐城,5年及以上,本科,机械/设备/重工,民营,1000-5000人,"['oracle', '需求分析', 'erp', '编程', 'oracle数据库', '技术培训', '信息管理', '系统开发', '性能调优', '计算机科学', '培训']"
数字化总监(J10773),星恒电源股份有限公司,2-4万·14薪,苏州,7年,本科,新能源,民营,1000-5000人,"['信息化', '数字化转型', '数字化', '运营赋能', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
PDM工程师-MOVA,苏州市人力资源和社会保障局,20-40万/年,苏州,5年及以上,本科,政府/公共事业,政府机关,50-150人,"['PDM系统上线', 'PDM工程师', 'PLM系统实施']"
首席信息官CIO,苏州达翔技术股份有限公司,1.5-2.5万·13薪,苏州,8年及以上,本科,原材料和加工,民营,500-1000人,"['管理', '项目管理', '需求调研', '项目实施', '方案设计', '网络', '服务器', '大数据', 'ai', '安全', '五险一金', '定期体检', '专业培训', '年终奖金', '节日福利', '带薪年假', '通讯补贴', '周末双休', '团队建设', '方案', '培训']"
IT经理,无锡祥生医疗科技股份有限公司,1.5-3万·13薪,无锡,5年及以上,本科,医疗设备/器械,民营,500-1000人,"['管理', '数据分析', '项目管理', 'erp', '金蝶', '软件工程', 'oa', '用友', 'it', 'ai', '五险一金', '绩效奖金', '带薪年假', '周末双休', '免费班车', '包吃']"
IT经理,苏州天脉导热科技股份有限公司,1.6-3.2万,苏州,8年及以上,大专,电子技术/半导体/集成电路,民营,1000-5000人,"['计算机', '系统开发', '运行维护', '问题处理', '系统培训', '业务流程', '产品规划', '开发管理', '系统培训', '方案']"
信息化经理,浙江华瑞航空制造有限公司,2.5-3万·13薪,杭州,10年及以上,本科,航天/航空,国企,150-500人,"['智能工厂', '数字化', '制造业', '五险一金', '绩效奖金', '定期体检', '专业培训', '餐饮补贴', '带薪年假', '节日福利', '周末双休', '免费班车', '方案']"
ERP工程师 (内部顾问),苏州长光华芯光电技术股份有限公司,1.4-1.8万,苏州,2年及以上,本科,电子技术/半导体/集成电路,民营,150-500人,"['oracle', '数据库', 'linux', 'erp', '开发', 'sqlserver', '需求调研', '软件开发', 'windows', 'c#', '五险一金', '员工旅游', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
IT Manager,苏州源起技术服务有限公司,2-2.5万·13薪,盐城,5年及以上,本科,新能源,民营,50-150人,"['项目管理', 'erp', '英语', 'sap', '汽车制造业', 'english', '中英', 'chinese', '口语', '内部培训', '培训']"
业务系统IT项目经理(J20366),信达生物制药（苏州）有限公司,2-3万·14薪,苏州,8年及以上,本科,制药/生物工程,已上市,5000-10000人,"['IT项目经理', 'AI制药', '研发', '质量', '业务系统', '方案', '培训', '弹性工作', '五险一金', '专业培训', '餐饮补贴', '年终奖金', '股票期权', '定期体检', '交通补贴']"
IT基础设施经理,苏州东微半导体股份有限公司,1.5-3万,苏州,8年及以上,本科,电子技术/半导体/集成电路,已上市,50-150人,"['运营', 'it', '团队建设', '方案', '五险一金', '补充医疗保险', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '带薪年假', '零食下午茶', '免费工作餐']"
服装制造IT主管,江苏国泰汉帛实业发展有限公司,20-40万/年,张家港,5年及以上,本科,贸易/进出口,国企,500-1000人,"['erp', '英语四级', 'mes', 'wms', 'aps', '信息化规划', '信息化系统', '服装', '带薪年假', '五险一金', '高温补贴', '节日福利', '餐饮补贴', '通讯补贴', '免费班车', '专业培训', '补充医疗保险', '员工旅游', '绩效奖金', '定期体检', '年终奖金']"
数字化&智能化运营,知行汽车科技（苏州）股份有限公司,2-4万·14薪,苏州,10年及以上,本科,汽车,已上市,500-1000人,"['智能化', '数智化', '数智化转型', '五险一金', '补充医疗保险', '员工旅游', '餐饮补贴', '年终奖金', '定期体检']"
医疗信息化开发总监,上海柯渡医学科技股份有限公司,35-55万/年,苏州,10年及以上,硕士,医疗设备/器械,合资,1000-5000人,"['java', '数据分析', '软件开发', '客户沟通', '软件工程', '大数据', '编程语言', '系统集成', '团队组建', '医疗信息化', '五险一金', '年终奖金', '定期体检', '带薪年假', '通讯补贴', '节日福利', '弹性工作']"
IT经理,江苏特创科技有限公司,2-2.5万,苏州,3年及以上,本科,仪器仪表/工业自动化,民营,150-500人,"['数据库', 'linux', '项目管理', '网络', '服务器', '操作系统', '网络安全', '控制成本', '计算机科学', '运维管理', '方案', '五险一金', '交通补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金']"
